maintype,grade,FD-score,LiA-score,CLIB-score,CLIB_stop-score,CILT-score,CILT_stop-score
school,4,74,66,41,36,70,72
media,3,88,81,43,41,66,67
school,4,91,83,47,41,64,68
media,4,63,57,27,25,82,83
leesboeken,7,85,80,48,46,68,69
school,6,87,81,46,46,67,68
leesboeken,5,85,79,47,45,65,66
school,6,82,76,44,41,73,75
leesboeken,5,92,83,44,40,65,68
media,4,56,51,31,26,85,88
media,4,81,71,46,39,65,69
media,4,72,64,43,42,72,73
media,4,69,63,35,32,78,79
leesboeken,5,89,83,51,44,63,68
leesboeken,7,80,65,37,33,67,69
leesboeken,2,97,90,45,41,63,66
media,4,76,69,39,35,72,74
leesboeken,2,100,93,51,49,61,63
media,4,80,71,37,34,70,71
school,6,83,71,43,41,65,67
leesboeken,7,72,61,32,29,74,76
school,5,89,79,41,36,66,69
leesboeken,5,78,61,36,33,68,70
leesboeken,5,91,85,44,42,65,66
leesboeken,2,82,76,33,30,74,76
leesboeken,5,78,66,37,35,70,71
leesboeken,5,69,65,33,30,76,78
leesboeken,5,78,71,37,31,73,77
leesboeken,2,98,92,45,41,66,68
school,5,73,68,40,33,71,76
leesboeken,2,92,84,38,34,67,70
leesboeken,7,98,91,49,43,61,65
leesboeken,7,69,57,33,28,73,76
school,3,87,80,38,36,69,71
school,5,93,84,40,31,71,76
leesboeken,6,68,60,32,30,76,77
school,5,86,78,46,42,67,69
school,3,98,94,63,59,60,62
leesboeken,5,79,70,45,43,67,68
leesboeken,5,90,84,42,38,67,70
media,4,65,55,32,29,76,78
school,5,84,72,39,36,68,69
media,4,80,71,45,39,66,69
leesboeken,5,84,76,41,35,66,69
leesboeken,5,71,54,33,31,71,72
leesboeken,7,87,76,41,40,64,65
leesboeken,5,91,79,48,43,58,61
leesboeken,2,88,82,41,34,68,72
leesboeken,5,83,76,41,38,68,70
leesboeken,5,85,78,42,37,67,70
leesboeken,7,86,74,43,38,65,68
media,4,64,61,42,35,74,78
leesboeken,5,73,65,31,27,75,77
leesboeken,5,86,77,43,40,64,66
leesboeken,5,87,80,40,36,70,73
leesboeken,2,78,69,42,36,68,71
school,4,89,78,46,39,64,68
media,4,69,60,36,34,73,74
leesboeken,4,85,77,42,39,65,67
leesboeken,5,72,63,37,33,73,75
media,4,72,63,38,34,73,76
school,4,96,83,51,50,58,58
leesboeken,5,83,69,45,42,64,65
leesboeken,5,77,69,39,36,68,70
leesboeken,7,56,42,22,19,81,83
leesboeken,6,60,52,31,27,77,79
leesboeken,2,78,71,33,31,73,74
leesboeken,3,95,84,46,43,61,63
leesboeken,5,98,89,45,41,63,66
media,4,64,54,34,30,74,77
leesboeken,2,77,67,35,32,71,73
leesboeken,7,84,77,46,43,65,66
school,5,78,69,42,37,68,71
media,4,68,57,34,30,73,75
media,4,73,60,35,30,73,75
leesboeken,4,68,60,35,31,74,77
school,4,101,93,49,42,62,66
leesboeken,7,84,72,41,37,66,68
leesboeken,2,81,71,38,31,72,76
media,4,71,67,39,33,74,77
leesboeken,2,92,83,39,35,66,69
school,5,80,75,34,34,76,76
school,3,67,61,42,39,70,72
media,4,78,63,38,35,66,68
media,5,91,85,31,31,73,73
school,5,84,79,42,38,72,74
leesboeken,5,91,85,44,40,63,65
school,3,89,81,53,46,62,66
leesboeken,5,83,74,43,36,65,69
leesboeken,5,70,53,35,30,70,72
school,6,88,78,50,47,61,63
leesboeken,2,89,83,41,38,69,70
school,5,73,59,36,31,69,72
leesboeken,3,102,91,46,40,61,64
leesboeken,8,82,73,32,28,72,74
school,5,85,78,41,37,71,74
leesboeken,2,97,88,47,43,62,64
leesboeken,2,98,91,45,44,66,67
leesboeken,7,83,73,35,33,71,72
school,5,89,81,37,35,72,72
school,6,75,68,43,40,70,72
school,2,96,85,43,37,61,65
media,4,71,62,31,27,75,78
leesboeken,3,91,83,40,34,69,73
leesboeken,7,86,79,38,32,67,71
media,4,83,73,38,38,67,67
leesboeken,5,79,66,39,34,67,70
